descmarca,producto,descrip,claseprod,preciosiva
PERROTTA,PER911,"LLAVES "" T "" S/LARGA TORX 10MM",PESOS,"1707,5"
PERROTTA,PER96,"LLAVES "" T "" STANDARD BOCA TORX  6MM",PESOS,"950,26"
PERROTTA,PER98,"LLAVES "" T "" STANDARD BOCA TORX  8MM",PESOS,"950,26"
PERROTTA,PER910,"LLAVES "" T "" STANDARD BOCA TORX 10MM",PESOS,"950,26"
PERROTTA,PER121,"LLAVES "" T "" STANDARD NÂº9 DE  1/2 """,PESOS,"945,72"
PERROTTA,PER141,"LLAVES "" T "" STANDARD NÂº9 DE  1/4 """,PESOS,"511,8"
PERROTTA,PER316,"LLAVES "" T "" STANDARD NÂº9 DE  3/16""",PESOS,"511,8"
PERROTTA,PER34,"LLAVES "" T "" STANDARD NÂº9 DE  3/4 """,PESOS,"2915,05"
PERROTTA,PER38,"LLAVES "" T "" STANDARD NÂº9 DE  3/8 """,PESOS,"756,58"
PERROTTA,PER5,"LLAVES "" T "" STANDARD NÂº9 DE  5 MM.",PESOS,"511,8"
PERROTTA,PER516,"LLAVES "" T "" STANDARD NÂº9 DE  5/16""",PESOS,"645,31"
PERROTTA,PER58,"LLAVES "" T "" STANDARD NÂº9 DE  5/8 """,PESOS,"1813,56"
PERROTTA,PER6,"LLAVES "" T "" STANDARD NÂº9 DE  6 MM.",PESOS,"511,8"
PERROTTA,PER7,"LLAVES "" T "" STANDARD NÂº9 DE  7 MM.",PESOS,"511,8"
PERROTTA,PER716,"LLAVES "" T "" STANDARD NÂº9 DE  7/16""",PESOS,"756,58"
PERROTTA,PER78,"LLAVES "" T "" STANDARD NÂº9 DE  7/8 """,PESOS,"3727,26"
PERROTTA,PER8,"LLAVES "" T "" STANDARD NÂº9 DE  8 MM.",PESOS,"645,31"
PERROTTA,PER9,"LLAVES "" T "" STANDARD NÂº9 DE  9 MM.",PESOS,"645,31"
PERROTTA,PER916,"LLAVES "" T "" STANDARD NÂº9 DE  9/16""",PESOS,"945,72"
PERROTTA,PER10,"LLAVES "" T "" STANDARD NÂº9 DE 10 MM.",PESOS,"756,58"
PERROTTA,PER11,"LLAVES "" T "" STANDARD NÂº9 DE 11 MM.",PESOS,"756,58"
PERROTTA,PER1116,"LLAVES "" T "" STANDARD NÂº9 DE 11/16""",PESOS,"2291,99"
PERROTTA,PER12,"LLAVES "" T "" STANDARD NÂº9 DE 12 MM.",PESOS,"823,34"
PERROTTA,PER13,"LLAVES "" T "" STANDARD NÂº9 DE 13 MM.",PESOS,"945,72"
PERROTTA,PER1316,"LLAVES "" T "" STANDARD NÂº9 DE 13/16""",PESOS,"2915,05"
PERROTTA,PER14,"LLAVES "" T "" STANDARD NÂº9 DE 14 MM.",PESOS,"945,72"
PERROTTA,PER15,"LLAVES "" T "" STANDARD NÂº9 DE 15 MM.",PESOS,"1691,17"
PERROTTA,PER16,"LLAVES "" T "" STANDARD NÂº9 DE 16 MM.",PESOS,"1691,17"
PERROTTA,PER17,"LLAVES "" T "" STANDARD NÂº9 DE 17 MM.",PESOS,"2291,99"
PERROTTA,PER18,"LLAVES "" T "" STANDARD NÂº9 DE 18 MM.",PESOS,"2291,99"
PERROTTA,PER19,"LLAVES "" T "" STANDARD NÂº9 DE 19 MM.",PESOS,"2915,05"
PERROTTA,PER20,"LLAVES "" T "" STANDARD NÂº9 DE 20 MM.",PESOS,"2915,05"
PERROTTA,PER21,"LLAVES "" T "" STANDARD NÂº9 DE 21 MM.",PESOS,"3727,26"
PERROTTA,PER22,"LLAVES "" T "" STANDARD NÂº9 DE 22 MM.",PESOS,"3727,26"
BREMEN DOLARIZADO.,BRE7096,LLAVES ALLEN CARDANICA X10 PZS MM,DOLARIZADO,"26,2"
BREMEN DOLARIZADO.,BRE7097,LLAVES ALLEN CARDANICA X10 PZS SAE,DOLARIZADO,"26,2"
BREMEN DOLARIZADO.,BRE5030,LLAVES ALLEN X 7PZS (2.5 A 10),DOLARIZADO,"102,71"
PRIVE,PRI996,LLAVES DE CILINDRO 113,PESOS,"494,57"
PERROTTA,PER273,LLAVES P/ REGULAR VALVULA DE FIAT 147,PESOS,"8704,57"
PERROTTA,PER272,LLAVES P/ REGULAR VALVULA DE GACEL,PESOS,"6623,33"
PERROTTA,PER1170,LLAVES P/ VALVULA MOTOR FIRE,PESOS,"7199,26"
CANDADOS 505.,CAN922,LLAVES P/CANDADO DE 25 MM,PESOS,"165,04"
CANDADOS 505.,CAN930,LLAVES P/CANDADO DE 30 MM,PESOS,"165,04"
